"Pathway","R2mean","R2median","R2sd","V1VE"
"'De Novo' Post-Translational Protein Folding (GO:0051084)",0.998689963015027,0.998877875741819,0.000572023742579168,0.999386764877133
"2-Oxoglutarate Metabolic Process (GO:0006103)",0.997474528907378,0.997828989656629,0.00145283484239106,0.998437737400001
"3'-UTR-mediated mRNA Destabilization (GO:0061158)",0.998927390017548,0.999153325173875,0.000886298010329864,0.999386480871882
"3'-UTR-mediated mRNA Stabilization (GO:0070935)",0.998256464433008,0.998439244208103,0.000794956741430532,0.99927480851906
"ATP Metabolic Process (GO:0046034)",0.998988699415377,0.998897534715187,0.00042159192280404,0.999375202288409
"Arp2/3 Complex-Mediated Actin Nucleation (GO:0034314)",0.999808733547136,0.999812009268707,8.6467555385555e-05,0.999920144204946
"B Cell Activation (GO:0042113)",0.998069979535217,0.998078209569549,0.000268792291129111,0.99882668698478
"B Cell Activation Involved In Immune Response (GO:0002312)",0.999050955022789,0.99912846641631,0.000548996218849968,0.999392990156205
"B Cell Differentiation (GO:0030183)",0.998067205527715,0.998044597566488,0.000498372132312266,0.998805964317508
"B Cell Mediated Immunity (GO:0019724)",0.999920137084296,0.999933678826317,4.29670550034383e-05,0.999940543884014
"B Cell Proliferation (GO:0042100)",0.998801655083574,0.999077220017057,0.000681518614205016,0.999240645784867
"B Cell Receptor Signaling Pathway (GO:0050853)",0.99808722067436,0.998253706796566,0.000617307645322647,0.998829093378091
"BMP Signaling Pathway (GO:0030509)",0.999279740942838,0.999254436901129,0.00026467063184225,0.999506470432437
"COPII Vesicle Coating (GO:0048208)",0.99786277842475,0.998038454015327,0.000831096505154749,0.99914938023761
"COPII-coated Vesicle Budding (GO:0090114)",0.997824668081178,0.99775396282217,0.000706801047872195,0.999073737795541
"COPII-coated Vesicle Cargo Loading (GO:0090110)",0.997210483803535,0.99792197900979,0.00163972027414685,0.998646842531392
"DNA Alkylation (GO:0006305)",0.998263658444328,0.998658434008368,0.00132129374712937,0.998970431058678
"DNA Biosynthetic Process (GO:0071897)",0.980874489666599,0.985797269275707,0.0142208273151194,0.989439603340729
"DNA Catabolic Process (GO:0006308)",0.997661944452785,0.997748306295777,0.00120424272663199,0.998586110360847
"DNA Conformation Change (GO:0071103)",0.998990042227935,0.998961120104383,0.00069514897968394,0.999411620696887
"DNA Damage Checkpoint Signaling (GO:0000077)",0.991274979009259,0.990826761708301,0.00223508171611289,0.995830812886724
"DNA Damage Response, Signal Transduction By P53 Class Mediator (GO:0030330)",0.999447444205615,0.999426306305187,0.000211399126792565,0.999633725581374
"DNA Damage Response, Signal Transduction By P53 Class Mediator Resulting In Cell Cycle Arrest (GO:0006977)",0.999812771858572,0.999865296404939,0.000121620962011933,0.9998657349415
"DNA Deamination (GO:0045006)",0.993158380140568,0.994141756716972,0.00506307012793193,0.996135579344346
"DNA Double-Strand Break Processing (GO:0000729)",0.994643275093818,0.994849299238427,0.00277404329579791,0.996901936930254
"DNA Duplex Unwinding (GO:0032508)",0.99864021734191,0.998655556320909,0.000414320544037888,0.99904301307659
"DNA Geometric Change (GO:0032392)",0.999271574932975,0.999365272376432,0.000320524995159369,0.999515471589904
"DNA Integrity Checkpoint Signaling (GO:0031570)",0.992268199022089,0.992037752437337,0.00181398399607719,0.995814779929915
"DNA Methylation (GO:0006306)",0.99822547455578,0.998534131677521,0.0012423803430821,0.998863646658081
"DNA Modification (GO:0006304)",0.990249244425982,0.989069986728056,0.00569635652030439,0.995164418675427
"DNA Recombination (GO:0006310)",0.998127561519914,0.998189059058018,0.000508419504403649,0.998770491583934
"DNA Repair-Dependent Chromatin Remodeling (GO:0140861)",0.9800694742677,0.978667665725601,0.00733124228121016,0.995648225632688
"DNA Replication (GO:0006260)",0.996603701121537,0.996630751527524,0.00101623409810288,0.997949117925947
"DNA Replication Checkpoint Signaling (GO:0000076)",0.987498472745196,0.991230267470628,0.00944653803534001,0.99377684218768
"DNA Replication Initiation (GO:0006270)",0.92873011805825,0.93269522549576,0.0301916178762288,0.976747202930842
"DNA Strand Elongation (GO:0022616)",0.975345888072549,0.977752199255641,0.0156682690314667,0.990758301584916
"DNA Strand Elongation Involved In DNA Replication (GO:0006271)",0.973165500348125,0.977218990986862,0.011812024933805,0.988773707778019
"DNA Synthesis Involved In DNA Repair (GO:0000731)",0.99454884315331,0.995082809494758,0.00294507318262583,0.996870863935671
"DNA Unwinding Involved In DNA Replication (GO:0006268)",0.999499816108345,0.999484046857688,0.000197341251117746,0.999643178465809
"DNA-templated DNA Replication (GO:0006261)",0.997952472623834,0.998129256377008,0.000576925635744285,0.998549422460758
"DNA-templated DNA Replication Maintenance Of Fidelity (GO:0045005)",0.986635886777446,0.986060541799812,0.0061281466215138,0.992308263872175
"DNA-templated Transcription Elongation (GO:0006354)",0.995495269453895,0.995295921651302,0.000909038876544887,0.998046740765767
"DNA-templated Transcription Initiation (GO:0006352)",0.996270654089675,0.996047753162582,0.000924387084966928,0.998157185821609
"DNA-templated Transcription Termination (GO:0006353)",0.997616481913551,0.99780715065843,0.0010057373727864,0.998728975780207
"ERAD Pathway (GO:0036503)",0.998254096364437,0.998205267708959,0.000497082023947651,0.999114934012337
"ERBB Signaling Pathway (GO:0038127)",0.998030873602457,0.998210758772052,0.000635554585660685,0.998883236154644
"ERK1 And ERK2 Cascade (GO:0070371)",0.997878051687973,0.998060074588224,0.000756499714674463,0.999061660630018
"Fc Receptor Mediated Stimulatory Signaling Pathway (GO:0002431)",0.999474766510603,0.99955312820886,0.000213493524288605,0.999670911790543
"Fc Receptor Signaling Pathway (GO:0038093)",0.99964647138683,0.999675014308397,0.000160385022134471,0.999752051676663
"Fc-epsilon Receptor Signaling Pathway (GO:0038095)",0.999688013334809,0.99972049500006,0.000156125339388715,0.999769283587371
"Fc-gamma Receptor Signaling Pathway (GO:0038094)",0.99944387706254,0.999493535507451,0.000202916472911438,0.999666886225484
"Fc-gamma Receptor Signaling Pathway Involved In Phagocytosis (GO:0038096)",0.996256354983696,0.99670542400231,0.00149240306590312,0.998366077797094
"G Protein-Coupled Receptor Signaling Pathway, Coupled To Cyclic Nucleotide Second Messenger (GO:0007187)",0.999880707129719,0.999906085876208,9.7647736415863e-05,0.999917020913483
"G1/S Transition Of Mitotic Cell Cycle (GO:0000082)",0.994478455721426,0.994874910400458,0.00139434674815866,0.997002718407029
"G2/M Transition Of Mitotic Cell Cycle (GO:0000086)",0.998154370469724,0.998497192390612,0.000891949744724654,0.9988861961795
"GPI Anchor Biosynthetic Process (GO:0006506)",0.992998432369691,0.992268640756741,0.00208498415617459,0.996247589299585
"GPI Anchor Metabolic Process (GO:0006505)",0.993621601138519,0.993599528011612,0.0022116054591234,0.996362124752948
"GTP Metabolic Process (GO:0046039)",0.998823446737788,0.998974788034115,0.000703811692329635,0.999324411512124
"Golgi To Endosome Transport (GO:0006895)",0.987127867547341,0.988299100066639,0.00598490977412606,0.994328218843208
"Golgi To Plasma Membrane Protein Transport (GO:0043001)",0.997375373584331,0.997254147313535,0.000908291808652481,0.99872135781274
"Golgi To Plasma Membrane Transport (GO:0006893)",0.996724376905495,0.9967312846891,0.000777155469946512,0.998316123709776
"Golgi To Vacuole Transport (GO:0006896)",0.999653947735305,0.999693540404492,0.000169463500895896,0.99976902125424
"I-kappaB kinase/NF-kappaB Signaling (GO:0007249)",0.998743047979993,0.998863396199019,0.000370965131720797,0.999232695335104
"JNK Cascade (GO:0007254)",0.985339935819954,0.987182231066259,0.00615320078907464,0.994218412207202
"L-alpha-amino Acid Transmembrane Transport (GO:1902475)",0.999385827191248,0.999418258500982,0.000197399658691509,0.99957260032507
