"Pathway","R2mean","R2median","R2sd","V1VE"
"'De Novo' Post-Translational Protein Folding (GO:0051084)",0.995133768197222,0.995208677151671,0.00146649465677711,0.997716746607381
"2-Oxoglutarate Metabolic Process (GO:0006103)",0.974971171625346,0.977342316204666,0.0100238819157053,0.988523709510846
"3'-UTR-mediated mRNA Destabilization (GO:0061158)",0.998778222726482,0.998788731132315,0.00051237047752766,0.999290953667103
"3'-UTR-mediated mRNA Stabilization (GO:0070935)",0.997889923082309,0.997929156162184,0.000659868403151231,0.998900098024875
"ATP Metabolic Process (GO:0046034)",0.996467197542119,0.996837838062277,0.00181415546889285,0.99791581347762
"Arp2/3 Complex-Mediated Actin Nucleation (GO:0034314)",0.997726332692788,0.99783063298994,0.00177808586514861,0.999208880417171
"B Cell Activation (GO:0042113)",0.996665520907486,0.996541398884426,0.000744623654077065,0.997835762785169
"B Cell Activation Involved In Immune Response (GO:0002312)",0.996732465920131,0.997714424633201,0.00254643629714717,0.997826778669621
"B Cell Differentiation (GO:0030183)",0.99695647426927,0.996800399743709,0.000835508174233968,0.998024980024184
"B Cell Mediated Immunity (GO:0019724)",0.996581980204495,0.996445563806536,0.00134880520930617,0.997680574514419
"B Cell Proliferation (GO:0042100)",0.998145188853885,0.998242947700042,0.00121733526685922,0.998653351369565
"B Cell Receptor Signaling Pathway (GO:0050853)",0.997317989145548,0.997296847162279,0.0012002260470209,0.998186907103153
"BMP Signaling Pathway (GO:0030509)",0.994666308158995,0.994769435749954,0.00211866379276382,0.996256312346615
"COPII Vesicle Coating (GO:0048208)",0.991769471926373,0.991932344992579,0.00441165545920721,0.997174481732483
"COPII-coated Vesicle Budding (GO:0090114)",0.990868972172121,0.991297764805594,0.00312006851389935,0.996574845137784
"COPII-coated Vesicle Cargo Loading (GO:0090110)",0.986870056286758,0.986363870633305,0.00266013086604779,0.994860956701143
"DNA Alkylation (GO:0006305)",0.990564383678837,0.990624177772348,0.00403799700938685,0.994576645437299
"DNA Biosynthetic Process (GO:0071897)",0.973618982259871,0.976895368726107,0.0144564708816278,0.98682769448528
"DNA Catabolic Process (GO:0006308)",0.996978111658195,0.996945392057222,0.00122734560694257,0.998048561841476
"DNA Conformation Change (GO:0071103)",0.99825539168603,0.998321604161414,0.000644801201895367,0.99886151938567
"DNA Damage Checkpoint Signaling (GO:0000077)",0.964412340276526,0.966622984612193,0.00899203578456166,0.984820167711096
"DNA Damage Response, Signal Transduction By P53 Class Mediator (GO:0030330)",0.997618578984045,0.998045823938167,0.000986985321724168,0.998445724656895
"DNA Damage Response, Signal Transduction By P53 Class Mediator Resulting In Cell Cycle Arrest (GO:0006977)",0.999118377399612,0.999142133371571,0.000379423841387327,0.99936732569948
"DNA Deamination (GO:0045006)",0.984615075682029,0.986254715921943,0.00967742343254756,0.992467623812451
"DNA Double-Strand Break Processing (GO:0000729)",0.988381103567787,0.988441799800983,0.00611145575233308,0.993699362667373
"DNA Duplex Unwinding (GO:0032508)",0.986126564162186,0.986927838855321,0.00277041171397668,0.992525190086366
"DNA Geometric Change (GO:0032392)",0.997324779961048,0.997615359138854,0.00119274712803445,0.998353294955895
"DNA Integrity Checkpoint Signaling (GO:0031570)",0.962929927664992,0.964634163758141,0.00919690879366482,0.982052790130659
"DNA Methylation (GO:0006306)",0.988556638703086,0.988161437112755,0.00497335019381661,0.993248902293949
"DNA Modification (GO:0006304)",0.979434427930575,0.982565573151796,0.00880790574317951,0.989935815803457
"DNA Recombination (GO:0006310)",0.995058008112387,0.994875021447109,0.00125938916350121,0.99688582698914
"DNA Repair-Dependent Chromatin Remodeling (GO:0140861)",0.980691567725244,0.982544030046462,0.00862392563939336,0.994063137371102
"DNA Replication (GO:0006260)",0.988786122286936,0.98836903805719,0.00202793491170759,0.993942301482136
"DNA Replication Checkpoint Signaling (GO:0000076)",0.976444649191532,0.976269647553801,0.0119876904737747,0.987725167100803
"DNA Replication Initiation (GO:0006270)",0.939046398298414,0.936378149280084,0.0195119037234546,0.97634366434381
"DNA Strand Elongation (GO:0022616)",0.954483489373079,0.95888832050961,0.0169583105570937,0.98611136429103
"DNA Strand Elongation Involved In DNA Replication (GO:0006271)",0.959842167790733,0.968209435338238,0.018119133506941,0.986109332185904
"DNA Synthesis Involved In DNA Repair (GO:0000731)",0.979497028535429,0.979890081265758,0.0066818270862827,0.990331515594029
"DNA Unwinding Involved In DNA Replication (GO:0006268)",0.992849247532534,0.99315524535957,0.00215715030582396,0.995890040636987
"DNA-templated DNA Replication (GO:0006261)",0.979051578022487,0.980324361313532,0.00320106233222254,0.989512364730779
"DNA-templated DNA Replication Maintenance Of Fidelity (GO:0045005)",0.987545479525684,0.988120472719271,0.00435489574304137,0.992332434467612
"DNA-templated Transcription Elongation (GO:0006354)",0.982673228365451,0.984808329812288,0.00654103897250906,0.994343468070098
"DNA-templated Transcription Initiation (GO:0006352)",0.991952594821976,0.992378757402797,0.00191271951165614,0.995685516473622
"DNA-templated Transcription Termination (GO:0006353)",0.984983702594763,0.987461082581768,0.011186084227491,0.99392664629523
"ERAD Pathway (GO:0036503)",0.98707240786057,0.987136140890467,0.00291338887511054,0.994514591034275
"ERBB Signaling Pathway (GO:0038127)",0.983379447741919,0.984584251272274,0.00613026598251139,0.99055033141289
"ERK1 And ERK2 Cascade (GO:0070371)",0.99775932550896,0.997735334320467,0.00101705283149423,0.998627395393852
"Fc Receptor Mediated Stimulatory Signaling Pathway (GO:0002431)",0.99747437371174,0.997967765222882,0.00117868586992097,0.998158916620069
"Fc Receptor Signaling Pathway (GO:0038093)",0.994979068571174,0.996079902299614,0.00328517740522099,0.996693718316307
"Fc-epsilon Receptor Signaling Pathway (GO:0038095)",0.892904659599228,0.912757278543486,0.060917910011345,0.959072806057026
"Fc-gamma Receptor Signaling Pathway (GO:0038094)",0.997854207770032,0.998196039877848,0.00133565950340926,0.998552138479092
"Fc-gamma Receptor Signaling Pathway Involved In Phagocytosis (GO:0038096)",0.998449043305404,0.998843451705374,0.000755830365142683,0.998832128475928
"G Protein-Coupled Receptor Signaling Pathway, Coupled To Cyclic Nucleotide Second Messenger (GO:0007187)",0.999847699906217,0.999857542208038,9.85571813122901e-05,0.999880986256926
"G1/S Transition Of Mitotic Cell Cycle (GO:0000082)",0.976137304064278,0.976412781786856,0.00579618699314294,0.988785425326898
"G2/M Transition Of Mitotic Cell Cycle (GO:0000086)",0.986430939019017,0.988430968173126,0.00570850118254782,0.992614341185097
"GPI Anchor Biosynthetic Process (GO:0006506)",0.969887661691976,0.972814322989721,0.0120998696956183,0.98698237462549
"GPI Anchor Metabolic Process (GO:0006505)",0.976117952051056,0.976449936156764,0.00948599539974001,0.988096639910353
"GTP Metabolic Process (GO:0046039)",0.998796415051919,0.99906980320972,0.000728458331644997,0.999257819901929
"Golgi To Endosome Transport (GO:0006895)",0.963689282800937,0.962768743301985,0.0199518416612815,0.985045458974068
"Golgi To Plasma Membrane Protein Transport (GO:0043001)",0.98818984179367,0.989136963510957,0.00456003683838665,0.994703828865761
"Golgi To Plasma Membrane Transport (GO:0006893)",0.983247283171232,0.983282141528961,0.00317594130346521,0.992182405782719
"Golgi To Vacuole Transport (GO:0006896)",0.996375288510085,0.996450618039987,0.0016669825416717,0.997830782814309
"I-kappaB kinase/NF-kappaB Signaling (GO:0007249)",0.988702703610301,0.989547591076646,0.00381323747147181,0.993810029756929
"JNK Cascade (GO:0007254)",0.983093515182103,0.983026120681677,0.00866334113125254,0.991106963787099
"L-alpha-amino Acid Transmembrane Transport (GO:1902475)",0.993553627290567,0.994172211053377,0.00247423230254011,0.995669666157174
"L-amino Acid Transport (GO:0015807)",0.995092197851249,0.994691499222539,0.00247980205959533,0.996890427803083
"L-serine Metabolic Process (GO:0006563)",0.985722070194554,0.986890440603818,0.00960137918724622,0.990589448578182
"MAPK Cascade (GO:0000165)",0.994997233633568,0.995093799573635,0.00114108266464808,0.996996160204742
"MHC Class II Protein Complex Assembly (GO:0002399)",0.976508424916833,0.979899813433282,0.0170401538676398,0.986433626994726
"MyD88-dependent Toll-Like Receptor Signaling Pathway (GO:0002755)",0.996303426722381,0.996826768509944,0.00244819929528035,0.997523638208128
"N-glycan Processing (GO:0006491)",0.961620332217351,0.968639439450926,0.0202665831012267,0.982821380577862
"N-terminal Protein Amino Acid Acetylation (GO:0006474)",0.984120697628492,0.987615739996094,0.00801400761672712,0.991785038181808
"N-terminal Protein Amino Acid Modification (GO:0031365)",0.985759845326842,0.986447384027842,0.00617912177112821,0.994133916353048
"NAD Biosynthetic Process (GO:0009435)",0.933162918952146,0.928644056140613,0.0274320485369558,0.971533796501778
"NAD Metabolic Process (GO:0019674)",0.995706750402036,0.996082439993922,0.00158763566704455,0.997190421890783
"NADH Dehydrogenase Complex Assembly (GO:0010257)",0.989188074892511,0.988458922951951,0.00213678105631098,0.99739538396019
"NADP Metabolic Process (GO:0006739)",0.993935330020789,0.99515029564007,0.0034193207968524,0.995921364342773
"NIK/NF-kappaB Signaling (GO:0038061)",0.993230584052421,0.994292532640251,0.00303034207205886,0.996087340468532
"NLS-bearing Protein Import Into Nucleus (GO:0006607)",0.912193146300211,0.929507739502067,0.0529063934904913,0.98258642784617
"Notch Signaling Pathway (GO:0007219)",0.989236849120011,0.99038646454995,0.00496349126470736,0.992931425361466
"O-glycan Processing (GO:0016266)",0.936354617791826,0.941257754614714,0.027960333026689,0.971240927371389
"P-body Assembly (GO:0033962)",0.991527944254832,0.990952857369082,0.00435748603625047,0.996419361819748
"RNA 3'-End Processing (GO:0031123)",0.984547264060492,0.985057121744569,0.00551928985298618,0.992479189476858
"RNA Biosynthetic Process (GO:0032774)",0.996246437126544,0.996190429083072,0.00124714647642618,0.997774493621039
"RNA Catabolic Process (GO:0006401)",0.995537750722393,0.99545987959298,0.00113746957658425,0.997700751422961
"RNA Destabilization (GO:0050779)",0.97484203240549,0.977448649042329,0.0135381139649672,0.989219398704205
"RNA Export From Nucleus (GO:0006405)",0.99521264829955,0.995234012500848,0.000803956935331364,0.997450639230017
"RNA Methylation (GO:0001510)",0.991252163978233,0.990697457737375,0.00238367703723794,0.995477494805247
"RNA Modification (GO:0009451)",0.985249020511734,0.985062857801394,0.00353357925123178,0.992198867069747
"RNA Phosphodiester Bond Hydrolysis (GO:0090501)",0.967317123972757,0.968786584347708,0.00795790755415718,0.987433681431297
"RNA Phosphodiester Bond Hydrolysis, Endonucleolytic (GO:0090502)",0.964546717534159,0.964280992714458,0.0150633308852823,0.98862896627957
"RNA Polyadenylation (GO:0043631)",0.998339133520705,0.998486308093888,0.000590153713642058,0.998933993511903
"RNA Polymerase II Preinitiation Complex Assembly (GO:0051123)",0.987390734458285,0.988868258981618,0.00316084151242174,0.994524910637912
"RNA Splicing (GO:0008380)",0.987174906709295,0.987250229583791,0.00191222044757329,0.996087553531106
"RNA Splicing, Via Endonucleolytic Cleavage And Ligation (GO:0000394)",0.952451333654602,0.964431020820524,0.0373804402212217,0.988599067355637
"RNA Splicing, Via Transesterification Reactions (GO:0000375)",0.977723959208171,0.977770671640622,0.00824353404039165,0.994286216835944
"RNA Stabilization (GO:0043489)",0.998415641472235,0.998536278310647,0.000453881572312767,0.999046397040015
"RNA Transport (GO:0050658)",0.998169214999969,0.998266263336419,0.000373591393303533,0.998950042618568
"RNA-mediated Gene Silencing (GO:0031047)",0.999196257875386,0.999281565825523,0.000297896559232348,0.999375393680384
"RNA-templated DNA Biosynthetic Process (GO:0006278)",0.996142787129474,0.996132665052302,0.00125519722873167,0.998344747252865
"Rac Protein Signal Transduction (GO:0016601)",0.997606828890894,0.997434599066304,0.000731350573858249,0.998624449287368
"Rho Protein Signal Transduction (GO:0007266)",0.998109062154121,0.997975790474898,0.000675036436679302,0.998829796812904
"SCF-dependent Proteasomal Ubiquitin-Dependent Protein Catabolic Process (GO:0031146)",0.995701279055936,0.996312298214146,0.00170281311226057,0.997174482804453
"SMAD Protein Signal Transduction (GO:0060395)",0.972871213585544,0.973130095891607,0.00934169871341466,0.982277796162276
