"Pathway","R2mean","R2median","R2sd","V1VE"
"'De Novo' Post-Translational Protein Folding (GO:0051084)",0.996892774304523,0.996721299952671,0.000991090922971003,0.998537857207797
"2-Oxoglutarate Metabolic Process (GO:0006103)",0.979867079736646,0.982518345642965,0.0110608281097391,0.991243756856791
"3'-UTR-mediated mRNA Destabilization (GO:0061158)",0.998505114895059,0.998800419830397,0.00076951601928922,0.999127616071161
"3'-UTR-mediated mRNA Stabilization (GO:0070935)",0.997839177653777,0.997880360503784,0.000942737220198175,0.998944541533202
"ATP Metabolic Process (GO:0046034)",0.997707040807525,0.997932519190817,0.000962099932126549,0.998648576202824
"Arp2/3 Complex-Mediated Actin Nucleation (GO:0034314)",0.998853253815551,0.998876832720678,0.000546716686652551,0.99955360016194
"B Cell Activation (GO:0042113)",0.995717050691194,0.99580706952519,0.000768751993578034,0.997279895511653
"B Cell Activation Involved In Immune Response (GO:0002312)",0.996532916593843,0.996543133097402,0.00196060988264937,0.997772139071731
"B Cell Differentiation (GO:0030183)",0.995253351808669,0.995297458500668,0.00192933532256122,0.996954342211382
"B Cell Mediated Immunity (GO:0019724)",0.997192773418926,0.997674993573357,0.00143289146322926,0.99829461982455
"B Cell Proliferation (GO:0042100)",0.999076265825297,0.999191277230529,0.000481804576251479,0.99935225685431
"B Cell Receptor Signaling Pathway (GO:0050853)",0.998265682182436,0.998235588400335,0.000435889455182084,0.998836032337894
"BMP Signaling Pathway (GO:0030509)",0.998765171090778,0.998899896920262,0.000712810104347829,0.999130089064599
"COPII Vesicle Coating (GO:0048208)",0.995736418643742,0.996034921500332,0.00162458180226029,0.998459855693896
"COPII-coated Vesicle Budding (GO:0090114)",0.99403800014155,0.994698141941283,0.00170455366382312,0.997739273703141
"COPII-coated Vesicle Cargo Loading (GO:0090110)",0.98203549889565,0.982282478832015,0.00631224509851039,0.994210511950268
"DNA Alkylation (GO:0006305)",0.994264420037412,0.994432004506107,0.00246648617395231,0.996633296057495
"DNA Biosynthetic Process (GO:0071897)",0.987317016858655,0.987920988773364,0.0074571086778798,0.993289308707878
"DNA Catabolic Process (GO:0006308)",0.997693834714078,0.997954458932453,0.00142021218798468,0.998448544085747
