"","x"
"'De Novo' Post-Translational Protein Folding (GO:0051084)",4.15735139644541e-09
"2-Oxoglutarate Metabolic Process (GO:0006103)",0.000143510156310685
"3'-UTR-mediated mRNA Destabilization (GO:0061158)",9.6906080350196e-05
"3'-UTR-mediated mRNA Stabilization (GO:0070935)",4.66125825741048e-06
"ATP Metabolic Process (GO:0046034)",2.04672358869142e-10
"Arp2/3 Complex-Mediated Actin Nucleation (GO:0034314)",1.00872716294629e-05
"B Cell Activation (GO:0042113)",5.24634840040741e-17
"B Cell Activation Involved In Immune Response (GO:0002312)",7.45768565890261e-05
"B Cell Differentiation (GO:0030183)",2.12253609317356e-12
"B Cell Mediated Immunity (GO:0019724)",0.0430748995728383
"B Cell Proliferation (GO:0042100)",4.0698261035401e-08
"B Cell Receptor Signaling Pathway (GO:0050853)",1.26095573717017e-11
"BMP Signaling Pathway (GO:0030509)",5.32641170585025e-10
"COPII Vesicle Coating (GO:0048208)",7.89425530661263e-06
"COPII-coated Vesicle Budding (GO:0090114)",3.00730149149656e-10
"COPII-coated Vesicle Cargo Loading (GO:0090110)",5.79732184214647e-06
"DNA Alkylation (GO:0006305)",1.596889149697e-05
"DNA Biosynthetic Process (GO:0071897)",0.00943532974128723
"DNA Catabolic Process (GO:0006308)",2.02978518047252e-06
"DNA Conformation Change (GO:0071103)",0.000906000401667197
"DNA Damage Checkpoint Signaling (GO:0000077)",6.71162244366533e-13
"DNA Damage Response, Signal Transduction By P53 Class Mediator (GO:0030330)",3.05406420456609e-11
"DNA Damage Response, Signal Transduction By P53 Class Mediator Resulting In Cell Cycle Arrest (GO:0006977)",5.12049723838797e-06
"DNA Deamination (GO:0045006)",2.33957322328992e-06
"DNA Double-Strand Break Processing (GO:0000729)",6.54801875648575e-06
"DNA Duplex Unwinding (GO:0032508)",0.00239478562819648
"DNA Geometric Change (GO:0032392)",0.000162700066601652
"DNA Integrity Checkpoint Signaling (GO:0031570)",3.23574778761577e-14
"DNA Methylation (GO:0006306)",5.98527192263848e-06
"DNA Modification (GO:0006304)",0.152451592430321
"DNA Recombination (GO:0006310)",9.17259789075236e-14
"DNA Repair-Dependent Chromatin Remodeling (GO:0140861)",2.313715022288e-05
"DNA Replication (GO:0006260)",1.43352828509161e-15
"DNA Replication Checkpoint Signaling (GO:0000076)",1.08412088810623e-05
"DNA Replication Initiation (GO:0006270)",0.016024797257327
"DNA Strand Elongation (GO:0022616)",0.00024262488118192
"DNA Strand Elongation Involved In DNA Replication (GO:0006271)",0.0315296281790102
"DNA Synthesis Involved In DNA Repair (GO:0000731)",1.38374769867181e-09
"DNA Unwinding Involved In DNA Replication (GO:0006268)",0.00180982095736173
"DNA-templated DNA Replication (GO:0006261)",0.000109745268403029
"DNA-templated DNA Replication Maintenance Of Fidelity (GO:0045005)",0.00303057451405554
"DNA-templated Transcription Elongation (GO:0006354)",1.43218368715516e-05
"DNA-templated Transcription Initiation (GO:0006352)",1.07135888655482e-11
"DNA-templated Transcription Termination (GO:0006353)",0.000118915952418258
"ERAD Pathway (GO:0036503)",1.98029322523908e-18
"ERBB Signaling Pathway (GO:0038127)",1.13430819163418e-09
"ERK1 And ERK2 Cascade (GO:0070371)",1.13696232990369e-07
"Fc Receptor Mediated Stimulatory Signaling Pathway (GO:0002431)",1.04175076412493e-07
"Fc Receptor Signaling Pathway (GO:0038093)",4.63077987828358e-07
"Fc-epsilon Receptor Signaling Pathway (GO:0038095)",5.46596425759041e-08
"Fc-gamma Receptor Signaling Pathway (GO:0038094)",1.80554729364036e-07
