"","x"
"'De Novo' Post-Translational Protein Folding (GO:0051084)",3.1807594408972e-05
"2-Oxoglutarate Metabolic Process (GO:0006103)",0.0182594754047881
"3'-UTR-mediated mRNA Destabilization (GO:0061158)",0.000251403523863599
"3'-UTR-mediated mRNA Stabilization (GO:0070935)",0.00518319722447726
"ATP Metabolic Process (GO:0046034)",0.00318176671922526
"Arp2/3 Complex-Mediated Actin Nucleation (GO:0034314)",0.0277887712172751
"B Cell Activation (GO:0042113)",2.52915318544614e-06
"B Cell Activation Involved In Immune Response (GO:0002312)",0.00123744919723582
"B Cell Differentiation (GO:0030183)",0.00825111903815491
"B Cell Mediated Immunity (GO:0019724)",0.00349462262672348
"B Cell Proliferation (GO:0042100)",0.3066683626362
"B Cell Receptor Signaling Pathway (GO:0050853)",0.000645454759437825
"BMP Signaling Pathway (GO:0030509)",3.01028503924871e-06
"COPII Vesicle Coating (GO:0048208)",0.761763860760577
"COPII-coated Vesicle Budding (GO:0090114)",0.0860549971831618
"COPII-coated Vesicle Cargo Loading (GO:0090110)",0.0208323223564821
"DNA Alkylation (GO:0006305)",0.00455998040436573
"DNA Biosynthetic Process (GO:0071897)",0.10454774137868
"DNA Catabolic Process (GO:0006308)",9.08916335628365e-06
"DNA Conformation Change (GO:0071103)",0.0140821201497961
"DNA Damage Checkpoint Signaling (GO:0000077)",1.62101902861475e-10
"DNA Damage Response, Signal Transduction By P53 Class Mediator (GO:0030330)",0.000228898936523219
"DNA Damage Response, Signal Transduction By P53 Class Mediator Resulting In Cell Cycle Arrest (GO:0006977)",0.00504174235040429
"DNA Deamination (GO:0045006)",3.83252591120895e-05
"DNA Double-Strand Break Processing (GO:0000729)",0.118016435885437
"DNA Duplex Unwinding (GO:0032508)",0.0102079884810317
"DNA Geometric Change (GO:0032392)",0.00718951105258704
"DNA Integrity Checkpoint Signaling (GO:0031570)",2.44772418234704e-10
"DNA Methylation (GO:0006306)",0.0150678775633578
"DNA Modification (GO:0006304)",0.0165802620418053
"DNA Recombination (GO:0006310)",9.74664612355725e-07
"DNA Repair-Dependent Chromatin Remodeling (GO:0140861)",0.0284856567306242
"DNA Replication (GO:0006260)",2.86492476832577e-10
"DNA Replication Checkpoint Signaling (GO:0000076)",0.00743219784976595
"DNA Replication Initiation (GO:0006270)",0.0418811675786327
"DNA Strand Elongation (GO:0022616)",0.0305083637613255
"DNA Strand Elongation Involved In DNA Replication (GO:0006271)",0.0197519229146213
"DNA Synthesis Involved In DNA Repair (GO:0000731)",5.51036953074816e-08
"DNA Unwinding Involved In DNA Replication (GO:0006268)",0.000785597041956476
"DNA-templated DNA Replication (GO:0006261)",6.12562838214712e-06
"DNA-templated DNA Replication Maintenance Of Fidelity (GO:0045005)",0.00120817426381807
"DNA-templated Transcription Elongation (GO:0006354)",0.026733566827782
"DNA-templated Transcription Initiation (GO:0006352)",3.7840239396936e-05
"DNA-templated Transcription Termination (GO:0006353)",0.0307716234822467
"ERAD Pathway (GO:0036503)",8.08517703323115e-05
"ERBB Signaling Pathway (GO:0038127)",0.0304084250742949
"ERK1 And ERK2 Cascade (GO:0070371)",1.08155882519479e-07
"Fc Receptor Mediated Stimulatory Signaling Pathway (GO:0002431)",5.03388389128598e-05
"Fc Receptor Signaling Pathway (GO:0038093)",0.00142369416527599
"Fc-epsilon Receptor Signaling Pathway (GO:0038095)",0.340048480263186
"Fc-gamma Receptor Signaling Pathway (GO:0038094)",2.73587729519272e-06
"Fc-gamma Receptor Signaling Pathway Involved In Phagocytosis (GO:0038096)",0.00821771978070468
"G Protein-Coupled Receptor Signaling Pathway, Coupled To Cyclic Nucleotide Second Messenger (GO:0007187)",2.8960620560792e-07
"G1/S Transition Of Mitotic Cell Cycle (GO:0000082)",9.67092968269369e-05
"G2/M Transition Of Mitotic Cell Cycle (GO:0000086)",0.00147561699065335
"GPI Anchor Biosynthetic Process (GO:0006506)",0.00387339998060552
"GPI Anchor Metabolic Process (GO:0006505)",0.00248535236832109
"GTP Metabolic Process (GO:0046039)",0.00505438106615716
"Golgi To Endosome Transport (GO:0006895)",0.0556060899133133
"Golgi To Plasma Membrane Protein Transport (GO:0043001)",7.90281840908539e-06
"Golgi To Plasma Membrane Transport (GO:0006893)",6.24917132780356e-06
"Golgi To Vacuole Transport (GO:0006896)",0.37242016805704
"I-kappaB kinase/NF-kappaB Signaling (GO:0007249)",1.84021979848425e-07
"JNK Cascade (GO:0007254)",0.0222246512318347
"L-alpha-amino Acid Transmembrane Transport (GO:1902475)",0.0153809960279528
"L-amino Acid Transport (GO:0015807)",0.00493375750331797
"L-serine Metabolic Process (GO:0006563)",0.0360581025952549
"MAPK Cascade (GO:0000165)",3.48741648253001e-16
"MHC Class II Protein Complex Assembly (GO:0002399)",0.0117125987670957
"MyD88-dependent Toll-Like Receptor Signaling Pathway (GO:0002755)",0.0406976997958866
"N-glycan Processing (GO:0006491)",0.151719778230916
"N-terminal Protein Amino Acid Acetylation (GO:0006474)",0.00994933451674198
"N-terminal Protein Amino Acid Modification (GO:0031365)",0.0297036077505931
"NAD Biosynthetic Process (GO:0009435)",7.59852522946428e-06
"NAD Metabolic Process (GO:0019674)",0.308104324194263
"NADH Dehydrogenase Complex Assembly (GO:0010257)",0.000369688282611752
"NADP Metabolic Process (GO:0006739)",0.00639326631622556
"NIK/NF-kappaB Signaling (GO:0038061)",0.00390319236469106
"NLS-bearing Protein Import Into Nucleus (GO:0006607)",0.0161662408920391
"Notch Signaling Pathway (GO:0007219)",0.000277379348156353
"O-glycan Processing (GO:0016266)",1.21726610779214e-05
"P-body Assembly (GO:0033962)",0.0077217915924675
"RNA 3'-End Processing (GO:0031123)",0.00668098498834609
"RNA Biosynthetic Process (GO:0032774)",0.000231741775883266
"RNA Catabolic Process (GO:0006401)",4.83237112961296e-08
"RNA Destabilization (GO:0050779)",0.101850812288726
"RNA Export From Nucleus (GO:0006405)",0.000806253862477011
"RNA Methylation (GO:0001510)",0.000129747055864382
"RNA Modification (GO:0009451)",3.76989186630215e-07
"RNA Phosphodiester Bond Hydrolysis (GO:0090501)",1.9186038292004e-06
"RNA Phosphodiester Bond Hydrolysis, Endonucleolytic (GO:0090502)",0.109447218790281
"RNA Polyadenylation (GO:0043631)",0.00119083258394809
"RNA Polymerase II Preinitiation Complex Assembly (GO:0051123)",0.0174413247095233
"RNA Splicing (GO:0008380)",5.3159390978211e-08
"RNA Splicing, Via Endonucleolytic Cleavage And Ligation (GO:0000394)",0.0197581446750685
"RNA Splicing, Via Transesterification Reactions (GO:0000375)",0.0060401291254145
"RNA Stabilization (GO:0043489)",0.000118123527082012
"RNA Transport (GO:0050658)",0.00138173404033396
"RNA-mediated Gene Silencing (GO:0031047)",9.46785370941842e-08
"RNA-templated DNA Biosynthetic Process (GO:0006278)",0.0112977409605071
"Rac Protein Signal Transduction (GO:0016601)",0.00131854988637689
"Rho Protein Signal Transduction (GO:0007266)",2.97873504228003e-08
"SCF-dependent Proteasomal Ubiquitin-Dependent Protein Catabolic Process (GO:0031146)",7.39735457356171e-05
"SMAD Protein Signal Transduction (GO:0060395)",0.877309173759688
"T Cell Activation (GO:0042110)",8.14368676750266e-14
