"","x"
"'De Novo' Post-Translational Protein Folding (GO:0051084)",2.62740953744353e-07
"2-Oxoglutarate Metabolic Process (GO:0006103)",7.50473462891513e-05
"3'-UTR-mediated mRNA Destabilization (GO:0061158)",0.00013111215079599
"3'-UTR-mediated mRNA Stabilization (GO:0070935)",0.00107450370618401
"ATP Metabolic Process (GO:0046034)",6.55470495749098e-05
"Arp2/3 Complex-Mediated Actin Nucleation (GO:0034314)",0.000185446021671755
"B Cell Activation (GO:0042113)",2.71048230291687e-06
"B Cell Activation Involved In Immune Response (GO:0002312)",0.001347957508754
"B Cell Differentiation (GO:0030183)",1.47321461751137e-06
"B Cell Mediated Immunity (GO:0019724)",6.69669632886406e-05
"B Cell Proliferation (GO:0042100)",0.0018723038762296
"B Cell Receptor Signaling Pathway (GO:0050853)",8.98690900432297e-06
"BMP Signaling Pathway (GO:0030509)",0.000170737551951765
"COPII Vesicle Coating (GO:0048208)",0.00843791750886406
"COPII-coated Vesicle Budding (GO:0090114)",1.05663637884346e-05
"COPII-coated Vesicle Cargo Loading (GO:0090110)",0.00255692460787318
"DNA Alkylation (GO:0006305)",0.0237770744712089
"DNA Biosynthetic Process (GO:0071897)",4.30536974265646e-05
"DNA Catabolic Process (GO:0006308)",1.50257706443341e-05
"DNA Conformation Change (GO:0071103)",0.0174978216126025
"DNA Damage Checkpoint Signaling (GO:0000077)",4.74490762688344e-11
"DNA Damage Response, Signal Transduction By P53 Class Mediator (GO:0030330)",1.14832991362333e-08
"DNA Damage Response, Signal Transduction By P53 Class Mediator Resulting In Cell Cycle Arrest (GO:0006977)",0.00248656345154083
"DNA Deamination (GO:0045006)",7.03872206490563e-06
"DNA Double-Strand Break Processing (GO:0000729)",0.000345463750337638
"DNA Duplex Unwinding (GO:0032508)",1.58808871559504e-05
"DNA Geometric Change (GO:0032392)",9.31494362150627e-06
"DNA Integrity Checkpoint Signaling (GO:0031570)",1.02664392693087e-11
"DNA Methylation (GO:0006306)",0.0205053855503243
"DNA Modification (GO:0006304)",0.000828141231409794
"DNA Recombination (GO:0006310)",1.34611862751337e-10
"DNA Repair-Dependent Chromatin Remodeling (GO:0140861)",0.00388580411711874
"DNA Replication (GO:0006260)",3.38359331462007e-12
"DNA Replication Checkpoint Signaling (GO:0000076)",6.66782025796861e-06
"DNA Replication Initiation (GO:0006270)",0.0779626918684666
"DNA Strand Elongation (GO:0022616)",0.00127406029645648
"DNA Strand Elongation Involved In DNA Replication (GO:0006271)",0.000672403819445351
"DNA Synthesis Involved In DNA Repair (GO:0000731)",1.30072540484191e-07
"DNA Unwinding Involved In DNA Replication (GO:0006268)",1.51560363346094e-05
"DNA-templated DNA Replication (GO:0006261)",9.15605633872009e-09
"DNA-templated DNA Replication Maintenance Of Fidelity (GO:0045005)",0.000100865614470891
"DNA-templated Transcription Elongation (GO:0006354)",0.00174603579154865
"DNA-templated Transcription Initiation (GO:0006352)",2.3642524061044e-07
"DNA-templated Transcription Termination (GO:0006353)",0.0190927038512089
"ERAD Pathway (GO:0036503)",3.95801857126545e-11
"ERBB Signaling Pathway (GO:0038127)",0.000197284062911417
"ERK1 And ERK2 Cascade (GO:0070371)",3.25310024671215e-08
"Fc Receptor Mediated Stimulatory Signaling Pathway (GO:0002431)",9.66551382598556e-05
"Fc Receptor Signaling Pathway (GO:0038093)",0.00029934190108015
"Fc-epsilon Receptor Signaling Pathway (GO:0038095)",0.00238489019137316
"Fc-gamma Receptor Signaling Pathway (GO:0038094)",1.99775406221239e-05
"Fc-gamma Receptor Signaling Pathway Involved In Phagocytosis (GO:0038096)",1.98414341183359e-05
"G Protein-Coupled Receptor Signaling Pathway, Coupled To Cyclic Nucleotide Second Messenger (GO:0007187)",3.57603642963287e-07
"G1/S Transition Of Mitotic Cell Cycle (GO:0000082)",1.37466423669195e-12
"G2/M Transition Of Mitotic Cell Cycle (GO:0000086)",0.00971415979587977
"GPI Anchor Biosynthetic Process (GO:0006506)",1.73264480490621e-06
"GPI Anchor Metabolic Process (GO:0006505)",1.67443158249331e-05
"GTP Metabolic Process (GO:0046039)",5.24281098045506e-05
"Golgi To Endosome Transport (GO:0006895)",0.0621258685878948
"Golgi To Plasma Membrane Protein Transport (GO:0043001)",1.1203872280855e-07
"Golgi To Plasma Membrane Transport (GO:0006893)",4.37921152071632e-09
"Golgi To Vacuole Transport (GO:0006896)",0.00172693349892733
"I-kappaB kinase/NF-kappaB Signaling (GO:0007249)",4.80132167068102e-09
"JNK Cascade (GO:0007254)",0.0118784545535329
"L-alpha-amino Acid Transmembrane Transport (GO:1902475)",1.06678203828932e-07
"L-amino Acid Transport (GO:0015807)",1.96656351929411e-05
"L-serine Metabolic Process (GO:0006563)",8.02662376942493e-05
"MAPK Cascade (GO:0000165)",2.95507902528125e-15
"MHC Class II Protein Complex Assembly (GO:0002399)",0.312462964521718
"MyD88-dependent Toll-Like Receptor Signaling Pathway (GO:0002755)",0.0259128874956664
"N-glycan Processing (GO:0006491)",0.00814504991981172
"N-terminal Protein Amino Acid Acetylation (GO:0006474)",0.0107733253434562
"N-terminal Protein Amino Acid Modification (GO:0031365)",0.0184551568018722
"NAD Biosynthetic Process (GO:0009435)",3.81400512065866e-05
"NAD Metabolic Process (GO:0019674)",0.0460449610568811
"NADH Dehydrogenase Complex Assembly (GO:0010257)",9.71448244083807e-09
"NADP Metabolic Process (GO:0006739)",2.10244320394011e-06
"NIK/NF-kappaB Signaling (GO:0038061)",2.79906078383363e-05
"NLS-bearing Protein Import Into Nucleus (GO:0006607)",0.000404771789599428
"Notch Signaling Pathway (GO:0007219)",2.5456897740298e-06
"O-glycan Processing (GO:0016266)",2.8141633865634e-06
"P-body Assembly (GO:0033962)",0.00162796886313177
"RNA 3'-End Processing (GO:0031123)",2.29828309988665e-05
"RNA Biosynthetic Process (GO:0032774)",2.03069655032692e-06
"RNA Catabolic Process (GO:0006401)",3.13451624376791e-08
"RNA Destabilization (GO:0050779)",0.111377178158413
"RNA Export From Nucleus (GO:0006405)",1.48791061683697e-07
"RNA Methylation (GO:0001510)",6.65853058313152e-07
"RNA Modification (GO:0009451)",2.03828763869259e-07
"RNA Phosphodiester Bond Hydrolysis (GO:0090501)",3.17677990660009e-07
"RNA Phosphodiester Bond Hydrolysis, Endonucleolytic (GO:0090502)",0.00991484063578241
"RNA Polyadenylation (GO:0043631)",5.38743683381985e-06
"RNA Polymerase II Preinitiation Complex Assembly (GO:0051123)",4.11042087756374e-05
"RNA Splicing (GO:0008380)",2.2165823191296e-09
"RNA Splicing, Via Endonucleolytic Cleavage And Ligation (GO:0000394)",0.235653758028269
"RNA Splicing, Via Transesterification Reactions (GO:0000375)",0.000303781833287244
"RNA Stabilization (GO:0043489)",3.03744957782381e-05
"RNA Transport (GO:0050658)",2.73282228439681e-06
"RNA-mediated Gene Silencing (GO:0031047)",2.03843061030683e-06
"RNA-templated DNA Biosynthetic Process (GO:0006278)",4.64085676349389e-05
"Rac Protein Signal Transduction (GO:0016601)",0.0187098846048969
"Rho Protein Signal Transduction (GO:0007266)",1.95002593321364e-06
"SCF-dependent Proteasomal Ubiquitin-Dependent Protein Catabolic Process (GO:0031146)",5.76423218350933e-05
"SMAD Protein Signal Transduction (GO:0060395)",6.9900336830797e-05
"T Cell Activation (GO:0042110)",8.36491835414486e-10
"T Cell Activation Involved In Immune Response (GO:0002286)",0.00392569621248287
"T Cell Differentiation (GO:0030217)",1.67347256390264e-05
"T Cell Differentiation In Thymus (GO:0033077)",0.00151639606386866
"T Cell Homeostasis (GO:0043029)",3.69138761286151e-06
"T Cell Mediated Immunity (GO:0002456)",1.87874792088684e-06
"T Cell Migration (GO:0072678)",4.66188520046672e-06
"T Cell Proliferation (GO:0042098)",0.0192294663158095
"T Cell Receptor Signaling Pathway (GO:0050852)",4.15918535737682e-09
"T-helper Cell Differentiation (GO:0042093)",0.0129101336542358
"T-helper Cell Lineage Commitment (GO:0002295)",9.45053266895917e-05
"TOR Signaling (GO:0031929)",0.000516521533257959
"TORC1 Signaling (GO:0038202)",0.0123382754110857
"U2-type Prespliceosome Assembly (GO:1903241)",4.05531296174021e-05
"UV-damage Excision Repair (GO:0070914)",2.36309660987185e-05
"V(D)J Recombination (GO:0033151)",0.00490927205862068
"Wnt Signaling Pathway (GO:0016055)",8.11470123626465e-09
"Wnt Signaling Pathway, Planar Cell Polarity Pathway (GO:0060071)",0.000213457656002504
"acetyl-CoA Biosynthetic Process (GO:0006085)",0.0471513055796462
"acetyl-CoA Metabolic Process (GO:0006084)",0.00101596950991919
"Actin Cytoskeleton Reorganization (GO:0031532)",1.34611624860648e-07
